"","subject","flnm","time_stamp","eye","point","offset_deg","diff"
"6102",27,"C:/Data/WebEye/35.asc",8187918,"RIGHT",5,0.82,0
"759",27,"C:/Data/WebEye/35.asc",8187918,"RIGHT",6,0.31,0
"835",27,"C:/Data/WebEye/35.asc",8187918,"RIGHT",7,0.65,0
"929",27,"C:/Data/WebEye/35.asc",8187918,"RIGHT",8,0.24,0
"1030",27,"C:/Data/WebEye/35.asc",8448094,"RIGHT",0,0.43,260176
"1125",27,"C:/Data/WebEye/35.asc",8448094,"RIGHT",1,0.32,0
"1220",27,"C:/Data/WebEye/35.asc",8448094,"RIGHT",2,0.42,0
"1318",27,"C:/Data/WebEye/35.asc",8448094,"RIGHT",3,0.42,0
"1418",27,"C:/Data/WebEye/35.asc",8448094,"RIGHT",4,0.72,0
"1518",27,"C:/Data/WebEye/35.asc",8448094,"RIGHT",5,0.58,0
"1618",27,"C:/Data/WebEye/35.asc",8448094,"RIGHT",6,0.42,0
"1718",27,"C:/Data/WebEye/35.asc",8448094,"RIGHT",7,0.2,0
"1818",27,"C:/Data/WebEye/35.asc",8448094,"RIGHT",8,0.47,0
"3720",27,"C:/Data/WebEye/35.asc",8735354,"RIGHT",0,0.33,25553
"3820",27,"C:/Data/WebEye/35.asc",8735354,"RIGHT",1,0.28,0
"3920",27,"C:/Data/WebEye/35.asc",8735354,"RIGHT",2,0.87,0
"4020",27,"C:/Data/WebEye/35.asc",8735354,"RIGHT",3,0.65,0
"4123",27,"C:/Data/WebEye/35.asc",8735354,"RIGHT",4,0.65,0
"4221",27,"C:/Data/WebEye/35.asc",8735354,"RIGHT",5,0.3,0
"4320",27,"C:/Data/WebEye/35.asc",8735354,"RIGHT",6,0.27,0
"4420",27,"C:/Data/WebEye/35.asc",8735354,"RIGHT",7,0.53,0
"4520",27,"C:/Data/WebEye/35.asc",8735354,"RIGHT",8,0.48,0
"4621",27,"C:/Data/WebEye/35.asc",8938508,"RIGHT",0,0.4,203154
"4721",27,"C:/Data/WebEye/35.asc",8938508,"RIGHT",1,0.99,0
"4821",27,"C:/Data/WebEye/35.asc",8938508,"RIGHT",2,0.67,0
"4921",27,"C:/Data/WebEye/35.asc",8938508,"RIGHT",3,1.1,0
"5021",27,"C:/Data/WebEye/35.asc",8938508,"RIGHT",4,0.24,0
"5124",27,"C:/Data/WebEye/35.asc",8938508,"RIGHT",5,0.34,0
"5222",27,"C:/Data/WebEye/35.asc",8938508,"RIGHT",6,1.19,0
"5321",27,"C:/Data/WebEye/35.asc",8938508,"RIGHT",7,0.69,0
"5421",27,"C:/Data/WebEye/35.asc",8938508,"RIGHT",8,0.33,0
"5522",27,"C:/Data/WebEye/35.asc",9268093,"RIGHT",0,0.28,329585
"5622",27,"C:/Data/WebEye/35.asc",9268093,"RIGHT",1,0.36,0
"5722",27,"C:/Data/WebEye/35.asc",9268093,"RIGHT",2,0.27,0
"5822",27,"C:/Data/WebEye/35.asc",9268093,"RIGHT",3,0.41,0
"5922",27,"C:/Data/WebEye/35.asc",9268093,"RIGHT",4,0.93,0
"6022",27,"C:/Data/WebEye/35.asc",9268093,"RIGHT",5,0.16,0
"6124",27,"C:/Data/WebEye/35.asc",9268093,"RIGHT",6,0.81,0
"6223",27,"C:/Data/WebEye/35.asc",9268093,"RIGHT",7,0.53,0
"6323",27,"C:/Data/WebEye/35.asc",9268093,"RIGHT",8,0.87,0
"6414",27,"C:/Data/WebEye/35.asc",9562789,"RIGHT",0,0.09,294696
"6512",27,"C:/Data/WebEye/35.asc",9562789,"RIGHT",1,0.47,0
"6612",27,"C:/Data/WebEye/35.asc",9562789,"RIGHT",2,1.03,0
"6713",27,"C:/Data/WebEye/35.asc",9562789,"RIGHT",3,0.14,0
"6814",27,"C:/Data/WebEye/35.asc",9562789,"RIGHT",4,0.33,0
"6914",27,"C:/Data/WebEye/35.asc",9562789,"RIGHT",5,0.36,0
"7014",27,"C:/Data/WebEye/35.asc",9562789,"RIGHT",6,0.94,0
