method,smoothing,parameter,RMSE_n_saccades,RMSE_mean_sacc_dur,RMSE_sd_sacc_dur,mean_error_n_saccades,mean_error_mean_sacc_dur,mean_error_sd_sacc_dur
EK03,raw,lambda_9,5.185865779548786,162.29487594918646,66.65597212201689,-4.466019417475724,-9.554927503721506,-14.91932139035892
EK03,raw,lambda_10,5.566892424156939,167.66355611538955,70.68639161309424,-4.854368932038833,-12.284081319581858,-17.511889028749504
EK03,raw,lambda_11,5.94840273902424,176.1792080282726,30.27534555582731,-5.28640776699029,-13.618378998551044,-12.7026625427358
EK03,raw,lambda_12,6.178179579181989,180.81683471768395,31.141013157175255,-5.577669902912623,-15.359198394378776,-16.549179988766547
EK03,raw,lambda_13,6.406156019912119,195.1934802271248,32.60738825152623,-5.834951456310681,-19.26665069390199,-16.80851174241747
EK03,raw,lambda_14,6.584034823959149,19.394772263662023,35.356046186346234,-6.04854368932039,-1.1456086438111701,-18.080511976071044
EK03,raw,lambda_15,6.728435528426664,19.182682908206985,29.438363711085913,-6.21359223300971,-0.24700852139313795,-15.756685556646392
EK03,sg,lambda_2,2.03369671536763,164.3778573913027,83.35294795285988,-0.9126213592233006,64.52972755108556,37.50316996645607
EK03,sg,lambda_3,3.537592840731691,159.43151449424508,68.6399876829415,-2.825242718446601,38.08331465781066,12.99984353290655
EK03,sg,lambda_4,4.9004656010216125,160.86304216675688,72.2171643395081,-4.325242718446601,20.717202825114143,1.103871665772835
EK03,sg,lambda_5,5.75342869492382,169.3679423849446,77.4230609077092,-5.257281553398058,9.18129491183831,-7.74248070715882
EK03,sg,lambda_6,6.380720353769606,197.25908340508437,98.23218406916513,-5.888349514563108,-1.6072152650027371,-14.416894928128391
EK03,sg,lambda_7,6.780182430171608,52.414401860915355,26.28873458828797,-6.310679611650485,13.540313972465798,-3.5788320244935035
EK03,sg,lambda_8,6.956173482207235,50.914291296689036,25.30932479927053,-6.4951456310679605,5.367360959509226,-3.4241531201476096
EK03,sg,lambda_9,7.105652064528345,58.95145330829889,24.02651937863235,-6.645631067961166,-5.122213813535518,3.1689102093361696
EK03,sg,lambda_10,7.188853291762563,74.80869001569604,10.08366244482631,-6.766990291262138,-9.507538570240062,-0.8796718687089298
EK03,sg,lambda_11,7.221193188660801,71.345035711523,14.59330972285451,-6.805825242718446,-12.780357487380751,-14.59330972285451
EK03,sg,lambda_12,7.255730912041953,85.3912576273314,NA,-6.839805825242717,-20.33095049056709,NA
EK03,sg,lambda_13,7.273105131402075,14.02447826999358,NA,-6.859223300970873,3.6268625498854217,NA
